time,open,high,low,close
1702148820000,43971.41,43989,43937.2,43956.63
1702148880000,43956.65,43977,43954.64,43957.17
1702148940000,43957.45,44005,43939.4,43977.77
1702149000000,43977.77,44013,43966.2,43973.46
1702149060000,43996,44006,43959.2,44006
1702149120000,43980.91,44017,43963.6,43991.23
1702149180000,43989.12,44013,43966.1,43990.84
1702149240000,43990.82,44010,43966.1,43994.56
1702149300000,43972.6,44010,43972.4,43994.87
1702149360000,43994.77,44010,43973.8,43991.92
1702149420000,43991.93,44011,43965.3,43979.26
1702149480000,43980.51,44000,43964.65,43966.59
1702149540000,43966.59,43990,43939.8,43958
1702149600000,43958.03,43976.1,43936.7,43957.2
1702149660000,43958.51,43986,43958.5,43970.6
1702196640000,43910.1,43917,43864.44,43871.18
1702196700000,43869.11,43891,43864.43,43865.67
1702196760000,43875.8,43895,43856.95,43871.69
1702196820000,43871.69,43897,43871.5,43887.67
1702196880000,43882.74,43910,43879.3,43887.64
1702196940000,43879.7,43908,43877.7,43883.24
1702197000000,43880.61,43886,43861.99,43876
1702197060000,43858.25,43906,43824.11,43873.08
1702197120000,43873.08,43900,43868.59,43892.21
1702197180000,43890.22,43917,43853.46,43858.15
1702197240000,43858.15,43908,43856.65,43858.6
1702197300000,43882.3,43915,43858.6,43869.19
1702197360000,43864.89,43892,43811.45,43838.7
1702197420000,43845,43863,43823.72,43837.1
1702197480000,43823.73,43864,43819.59,43848
1702197540000,43842.64,43864,43842.64,43853.45
1702197600000,43853.44,43877,43834.84,43854.37
1702197660000,43849.13,43879,43811.4,43822.06
1702197720000,43822.06,43875,43811.9,43844.7
1702197780000,43844.8,43870,43824.48,43824.48
1702197840000,43824.47,43858,43789.5,43793.49
1702197900000,43793.49,43833,43793.48,43816.12
1702197960000,43817.72,43853,43807.53,43851
1702198020000,43826.8,43848,43810.74,43830.4
1702198080000,43830.4,43835,43765.18,43781.92
1702198140000,43781.57,43814,43757.25,43799.46
1702198200000,43799.45,43826,43784.21,43797
1702198260000,43792.35,43841,43744.1,43754.84
1702198320000,43752.17,43784,43749.52,43758.05
1702198380000,43761.82,43783,43749.99,43759.45
1702198440000,43759.45,43781,43741.85,43770
1702198500000,43756.5,43787,43750,43787
1702198560000,43787,43824,43761.5,43783.77
1702198620000,43779.86,43811,43778.51,43792.93
1702198680000,43793.3,43815,43772.5,43772.51
1702198740000,43772.51,43807,43772.51,43777.32
1702198800000,43775.7,43817,43765.84,43767.6
1702198860000,43775.23,43786,43765.26,43779.43
1702198920000,43779.44,43813,43776,43797.44
1702198980000,43794.8,43824,43791.3,43799.18
1702199040000,43799.18,43825,43793.2,43813.55
1702199100000,43802.2,43839,43802.2,43810
1702199160000,43812.3,43847,43812.3,43823.61
1702199220000,43823.61,43845,43814.2,43818.86
1702199280000,43817.9,43825.58,43816,43823.87
1702199340000,43823.88,43847,43811.8,43823.95
1702199400000,43820.94,43844,43814,43821.23
1702199460000,43816.8,43844,43803.21,43803.22
1702199520000,43803.22,43822,43787.5,43790.51
1702199580000,43790.75,43816.8,43782.8,43782.8
1702199640000,43792,43817,43791.74,43792.83
1702199700000,43816,43822,43780.8,43802.34
1702199760000,43807.88,43834,43798.7,43809.91
1702199820000,43809.91,43833,43801.9,43808.58
1702199880000,43806.8,43834,43800.4,43808.4
1702199940000,43805.1,43834,43805.1,43811.6
1702200000000,43816.3,43834,43801.29,43802.48
1702200060000,43812.5,43818,43778.4,43789.87
1702200120000,43789.87,43814,43780.4,43790.3
1702200780000,43650.44,43675,43636.04,43659
1702200840000,43654.31,43660.5,43625.65,43630.18
1702200900000,43635.04,43652,43610.4,43649
1702200960000,43637.58,43710,43620.8,43689.7
1702201020000,43675.1,43721,43675,43675.1
1702201080000,43717.79,43727,43661.6,43671.71
1702201140000,43659.2,43697,43659,43680.78
1702201200000,43668.8,43700,43668.8,43672.97
1702201260000,43672.2,43700,43668.68,43668.68
1702201320000,43668.69,43692,43643.6,43681.39
1702201380000,43679,43693,43652.7,43654.5
1702201440000,43654.5,43678,43644.3,43648.36
1702201500000,43648.37,43722,43648.37,43672
1702201560000,43672,43714,43672,43698.5
1702201620000,43695.2,43702.24,43685.8,43685.8
1702201680000,43712,43722,43688.29,43705.91
1702201740000,43695.3,43719,43680.9,43680.9
1702201800000,43688.35,43729,43685.16,43715.02
1702201860000,43717.61,43717.61,43677.9,43688.08
1702201920000,43691.58,43718,43678.4,43685.61
1702201980000,43686.35,43694,43667.3,43669.99
1702202040000,43665.12,43703,43649,43651.64
1702202100000,43650.23,43694,43644.1,43654.8
1702202160000,43661.51,43668.1,43644.6,43651.22
1702202220000,43651.21,43672,43642.1,43642.2
1702202280000,43646.44,43663,43629.77,43653
1702202340000,43653,43654,43608.1,43610
1702202400000,43610,43644,43610,43631.29
1702202460000,43625.2,43651,43625.2,43634.52
1702202520000,43628.6,43655,43620.84,43629.23
1702202580000,43629.23,43655,43623.85,43650
1702202640000,43646.89,43673,43627.9,43666.34
1702202700000,43636,43685,43627.8,43678.01
1702202760000,43677.35,43686,43627.9,43675.21
1702202820000,43675.21,43684,43656.05,43656.28
1702202880000,43656.28,43669,43641.2,43662
1702202940000,43654.08,43686,43641.1,43648.23
1702203000000,43648.24,43665,43633.7,43642.8
1702203060000,43644.25,43657,43628,43639.63
1702203120000,43639.63,43665,43636.8,43637
1702203180000,43656.49,43665,43636.9,43646.8
1702203240000,43643.72,43660,43635.42,43639.48
1702203300000,43639.44,43678,43636.9,43637
1702203360000,43674,43678.37,43636.9,43646.68
1702203420000,43646.68,43674,43636.9,43665.61
1702203480000,43675,43685,43636.9,43636.9
1702203540000,43660.14,43681,43636.9,43637
1702203600000,43637,43673,43636.9,43661.6
1702203660000,43664.08,43677,43637,43670.49
1702203720000,43662.7,43680,43645.46,43657.28
1702203780000,43657.28,43685,43641.1,43674.09
1702203840000,43674.09,43684,43641.2,43664.74
1702203900000,43664.74,43699,43659.1,43691.97
1702203960000,43691.97,43706,43670.9,43684.86
1702204020000,43684.85,43704,43673.7,43686.74
1702204080000,43685.7,43690,43675.64,43679.07
1702204140000,43679.41,43705,43677.26,43699.9
1702204200000,43694.21,43700,43685.6,43696.33
1702204260000,43696.32,43718,43685.7,43685.7
1702204440000,43698,43730,43681.91,43685.53
1702204500000,43685.15,43718,43674.55,43685.6
1702204560000,43686.76,43704,43666.99,43666.99
1702204620000,43675,43686,43663.72,43669.01
1702204680000,43669,43690,43648.65,43648.65
1702204740000,43645.73,43680.1,43637.1,43649.33
1702204800000,43670.8,43674,43638.2,43645.12
1702204860000,43645.12,43662.7,43634.08,43634.08
1702204920000,43660.3,43664,43632.53,43645.99
1702204980000,43659.1,43664,43631.1,43644.91
1702205040000,43646.1,43648,43636,43642.59
1702205100000,43642.59,43661,43626.2,43630.89
1702205160000,43628.61,43651,43623.21,43642.1
1702205220000,43642,43667,43634.05,43662
1702205280000,43673.57,43686,43661.9,43676.63
1702205340000,43669.3,43686,43665.3,43665.3
1702205400000,43683,43691,43642,43688.98
1702205460000,43674.8,43699,43642,43694.17
1702205520000,43685.7,43711,43681.5,43699.8
1702205580000,43700.07,43717,43685.6,43700.15
1702205640000,43700.15,43722,43685.6,43722
1702205700000,43717.33,43733,43685.7,43707.46
1702205760000,43710.6,43723,43687.6,43714.28
1702205820000,43687.7,43716,43687.6,43688
1702205880000,43702.49,43714,43687.6,43712.24
1702205940000,43714,43715,43698.2,43708.92
1702206000000,43714,43729,43687.6,43721.66
1702206060000,43721.72,43725.41,43687.6,43711.86
1702206120000,43687.6,43728,43687.6,43697.95
1702206180000,43700.56,43711.71,43687.6,43709.97
1702206240000,43709.98,43715,43687.6,43692.92
1702206300000,43693.91,43702,43684.32,43693.33
1702206360000,43693.33,43737,43667.3,43728.83
1702206420000,43728.82,43736.82,43696.9,43728
1702206480000,43727.99,43754,43696.9,43728
1702206540000,43697,43746,43678.6,43740.77
1702206600000,43740.75,43759.17,43697,43726.6
1702206660000,43745.83,43756,43726.5,43742.09
1702206720000,43748.33,43760.46,43726.6,43757.03
1702206780000,43756.99,43763.83,43737,43756
1702206840000,43759.1,43759.1,43738,43756.25
1702206900000,43744.2,43757,43741,43749.48
1702206960000,43743.81,43747.86,43734.41,43734.41
1702207020000,43747,43757,43731,43749.54
1702207080000,43748.72,43757.2,43735,43749.56
1702207140000,43744.2,43763,43736,43736
1702207200000,43736,43772,43736,43762.89
1702207260000,43756.8,43771,43744,43758.7
1702207320000,43756.7,43771,43742.5,43748.27
1702207380000,43747.1,43756.8,43737.2,43750.06
1702207440000,43750.03,43756.8,43736,43744.06
1702207500000,43744.3,43756.8,43738,43739.44
1702207560000,43739.45,43756.8,43738,43749.23
1702207620000,43749.23,43756.8,43727.76,43744
1702207680000,43741.32,43757,43732.9,43748
1702207740000,43748,43764,43742,43755.2
1702207800000,43748,43755.2,43724.93,43730.11
1702207860000,43727.23,43744.2,43718.92,43718.92
1702207920000,43720.01,43744.2,43719.35,43744.1
1702207980000,43737,43744.2,43702,43723.69
